epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,3686.3,1.43904,1.16928,1.26945,71.84944056612794,75.23547690867485,78.66743864629636,57.75336287543082,1.30325,0.97371,1.20893,0.008218,0.008218,0.008218
38,3785.74,1.42617,1.15543,1.2648,74.63045806636703,75.0995033284793,79.2474207164469,58.55838503200394,1.28832,0.96026,1.20301,0.0081685,0.0081685,0.0081685
39,3885.06,1.42046,1.12956,1.25595,73.11723247585348,75.78368785105056,79.75986328489783,58.62493353028065,1.2882,0.95496,1.20449,0.008119,0.008119,0.008119
40,3984.34,1.42395,1.12983,1.25252,70.6865927130152,78.03048939047224,79.87671734339395,58.47036927621861,1.28427,0.94023,1.19742,0.0080695,0.0080695,0.0080695
41,4088.49,1.4074,1.11646,1.25463,76.91722291288133,76.15275899729562,80.21655896305703,58.203101920236335,1.27465,0.93696,1.19739,0.00802,0.00802,0.00802
42,4193.61,1.40826,1.12807,1.25326,76.80043033374773,75.69951372997711,80.14901946135744,59.621014278680455,1.2702,0.93182,1.18871,0.0079705,0.0079705,0.0079705
43,4298.96,1.40312,1.11307,1.24579,76.65147747920052,76.89413875598086,80.9648537596653,59.861447562776945,1.25808,0.91461,1.18914,0.007921,0.007921,0.007921
44,4399.36,1.40199,1.1087,1.25009,79.01441139906284,76.95672976908676,80.96270964850024,59.56841949778434,1.2646,0.91652,1.1908,0.0078715,0.0078715,0.0078715
45,4498.35,1.40405,1.11455,1.24676,75.99980874055656,77.7272467235282,81.4022524373389,60.45179714426391,1.25699,0.91361,1.1853,0.007822,0.007822,0.007822
46,4597.53,1.39099,1.09689,1.24329,83.33912211915464,76.7538485541918,81.92541556161517,59.87969473165927,1.25302,0.90644,1.18016,0.0077725,0.0077725,0.0077725
47,4693.69,1.37974,1.08798,1.23418,80.53271492779955,77.06680361972124,81.66383399947703,59.95375677006401,1.24906,0.90072,1.17922,0.007723,0.007723,0.007723
48,4792.34,1.38108,1.09031,1.23761,80.73075451850434,76.48082223840234,81.89003772739157,60.81674052191039,1.24693,0.89861,1.17993,0.0076735,0.0076735,0.0076735
49,4891.75,1.37379,1.06687,1.23483,79.23276274266043,77.20493551071355,81.36580254753277,60.69759724273757,1.24147,0.88685,1.17677,0.007624,0.007624,0.007624
50,4992.84,1.36574,1.06427,1.2307,81.21146600363393,76.96536301227377,82.1902132905009,61.09474150664697,1.23181,0.87962,1.17614,0.0075745,0.0075745,0.0075745
51,5092.44,1.36502,1.0571,1.22535,82.65360045902266,77.46393280632412,82.37996712860932,61.536967011324464,1.23002,0.87729,1.17343,0.007525,0.007525,0.007525
52,5193.57,1.36358,1.0607,1.22526,80.42607822511235,77.6225686498856,82.00260356355757,61.43392417528311,1.22469,0.87055,1.16988,0.0074755,0.0074755,0.0074755
53,5292.93,1.36489,1.06166,1.22538,80.89832647986995,77.67544726440609,82.50646968734823,61.68187099950764,1.217,0.86505,1.1667,0.007426,0.007426,0.007426
54,5392.49,1.35842,1.05037,1.22637,82.13903605240507,77.29990118577075,82.68871913637891,61.84609551944854,1.21168,0.85828,1.16718,0.0073765,0.0073765,0.0073765
55,5491.22,1.34507,1.03363,1.2165,81.8682126805011,77.73911743291035,82.64690896866011,61.796720827178724,1.21105,0.85355,1.16601,0.007327,0.007327,0.007327
56,5590.1,1.35197,1.04576,1.21913,83.23248541646744,78.08768462658624,82.9813903104105,61.99207287050714,1.20761,0.85132,1.16357,0.0072775,0.0072775,0.0072775
57,5689.15,1.33992,1.02906,1.21538,85.88993975327531,77.62148949448721,83.05750625677037,62.21747907434761,1.20457,0.84796,1.16169,0.007228,0.007228,0.007228
58,5788.43,1.34539,1.03614,1.21539,86.54499378406808,77.71537601414605,83.41557282133653,62.367749876907915,1.20103,0.84326,1.15907,0.0071785,0.0071785,0.0071785
59,5887.63,1.33492,1.01698,1.20619,86.25216601319688,77.85027043894321,83.62355160434798,62.632870507139344,1.19568,0.84135,1.15663,0.007129,0.007129,0.007129
60,5986.36,1.32715,1.01384,1.20403,87.78739600267762,77.31608851674642,83.51956221284223,62.687612013786314,1.1948,0.84068,1.15502,0.0070795,0.0070795,0.0070795
61,6085.99,1.30905,0.99888,1.20094,88.5,77.56321510297484,83.83796272085465,62.843249630723776,1.1914,0.83787,1.15366,0.00703,0.00703,0.00703
62,6184.94,1.32431,1.0088,1.20972,87.39300946734245,77.63875598086125,83.75863060774718,63.00854751354012,1.18973,0.83685,1.15306,0.0069805,0.0069805,0.0069805
63,6285.11,1.31035,0.99789,1.19517,86.65163048675528,78.09955533596838,83.95696089051584,63.20711964549483,1.18707,0.83316,1.15109,0.006931,0.006931,0.006931
64,6386.16,1.31423,0.99085,1.194,87.87372095247203,77.7984709798211,84.1134810055657,63.126617429837516,1.18402,0.83185,1.14962,0.0068815,0.0068815,0.0068815
65,6486.84,1.29936,0.98845,1.18978,88.11238404896241,77.57724412315375,84.16279556236225,63.03108813392418,1.1848,0.83054,1.15003,0.006832,0.006832,0.006832
66,6587.03,1.30809,0.98968,1.19657,85.37029740843454,78.12653422092782,84.13277800605131,63.018207779419,1.18275,0.82751,1.14852,0.0067825,0.0067825,0.0067825
67,6687.37,1.29827,0.97667,1.18799,85.27212393611934,78.52366340753069,84.25284823129505,63.0911964549483,1.18108,0.82562,1.14791,0.006733,0.006733,0.006733
68,6787.76,1.29405,0.97302,1.1901,84.06526728507221,79.0189957353859,84.16708378469238,63.32733628754308,1.17988,0.82309,1.14768,0.0066835,0.0066835,0.0066835
69,6889.28,1.29337,0.97145,1.18495,84.35978770201778,79.17439411275224,84.38363901236413,63.314455933037905,1.17842,0.8208,1.14671,0.006634,0.006634,0.006634
70,6993.15,1.29335,0.97376,1.19145,84.65092282681458,79.10748647805285,84.53051062717118,63.39173806006893,1.17627,0.81949,1.1455,0.0065845,0.0065845,0.0065845
71,7095.83,1.27895,0.95333,1.18511,85.62250167352012,78.93374245891408,84.44367412498599,63.37241752831117,1.17484,0.81775,1.14465,0.006535,0.006535,0.006535
72,7201.39,1.27826,0.94656,1.17989,82.96504733671225,79.61145204909506,84.58304135071532,63.60319054652879,1.17341,0.8159,1.14364,0.0064855,0.0064855,0.0064855
73,7302.84,1.28515,0.96258,1.18644,82.66206368939466,79.71397181194092,84.69024690896866,63.64934515017233,1.17213,0.81411,1.14344,0.006436,0.006436,0.006436
74,7403.12,1.26973,0.9517,1.17891,82.54527111026107,80.20714582899939,84.79316424489186,63.67081240768094,1.1707,0.81277,1.14315,0.0063865,0.0063865,0.0063865
75,7508.41,1.27038,0.9363,1.17538,82.73146217844506,80.4111061992927,84.82425385678532,63.777075332348595,1.16962,0.81088,1.14263,0.006337,0.006337,0.006337
76,7611.57,1.27186,0.93728,1.17932,83.63194989002582,80.35175265238196,84.88107280265959,63.86401772525849,1.16811,0.80888,1.1422,0.0062875,0.0062875,0.0062875
77,7720.16,1.25753,0.92809,1.17396,84.02464377928659,79.9632567089661,84.86284785775652,63.84899064500246,1.16591,0.80651,1.1415,0.006238,0.006238,0.006238
78,7824.01,1.25453,0.93234,1.16997,83.814755666061,80.16829623465779,84.87892869149451,63.930566223535195,1.16374,0.80345,1.14051,0.0061885,0.0061885,0.0061885
79,7931.57,1.26046,0.92921,1.17306,84.0669599311466,80.07548887039735,84.8489111351836,63.9337863121615,1.16296,0.8017,1.14006,0.006139,0.006139,0.006139
80,8046.15,1.25395,0.92209,1.1686,84.62384048962417,80.08304295818597,84.93681969295132,63.87260462826193,1.1616,0.7999,1.13945,0.0060895,0.0060895,0.0060895
81,8172.19,1.25318,0.92922,1.1715,84.51889643301138,79.95678177657584,84.95933286018452,63.923052683407185,1.16026,0.79833,1.13871,0.00604,0.00604,0.00604
82,8266.5,1.24464,0.91629,1.16574,84.67292722578176,80.14779228208862,84.9453961376116,64.0099950763171,1.15943,0.79696,1.13831,0.0059905,0.0059905,0.0059905
83,8360.97,1.25013,0.91704,1.16858,84.42580089891938,79.65893488662368,84.89715363639759,64.10874446085671,1.15805,0.7959,1.13769,0.005941,0.005941,0.005941
84,8455.33,1.2345,0.89981,1.16068,84.23960983073539,79.83699552735595,84.9614769713496,64.09479074347611,1.15683,0.79461,1.13712,0.0058915,0.0058915,0.0058915
85,8549.5,1.23343,0.9084,1.16413,85.10455197475376,79.71505096733931,85.00864741698105,64.08298375184638,1.15576,0.7931,1.13689,0.005842,0.005842,0.005842
86,8643.88,1.24143,0.91037,1.16495,85.21795926173854,79.85210370293323,85.09012364125358,64.14845888724766,1.15439,0.79148,1.13634,0.0057925,0.0057925,0.0057925
87,8739.0,1.24179,0.90141,1.16258,85.12147843549775,79.75929633867278,85.07189869635053,64.14309207287052,1.1535,0.78989,1.13604,0.005743,0.005743,0.005743
88,8833.88,1.22482,0.89458,1.15896,85.62250167352012,79.82836228416893,85.13622203130251,64.19354012801575,1.15244,0.78833,1.1357,0.0056935,0.0056935,0.0056935
89,8928.41,1.22351,0.89194,1.15794,86.49421440183608,79.90066569586021,85.2252026446528,64.14523879862136,1.15125,0.78739,1.13494,0.005644,0.005644,0.005644
90,9022.88,1.21209,0.88337,1.15159,85.95933824232573,80.08628042438113,85.2745172014493,64.16885278188084,1.15041,0.7861,1.13471,0.0055945,0.0055945,0.0055945
91,9117.44,1.22658,0.89048,1.15804,86.0016543941857,80.23952049095071,85.29059803518733,64.2021270310192,1.14973,0.78457,1.13448,0.005545,0.005545,0.005545
92,9213.11,1.22014,0.88847,1.15533,86.07951611360811,80.10462606615353,85.27880542377945,64.27082225504677,1.14866,0.78328,1.13411,0.0054955,0.0054955,0.0054955
93,9308.37,1.2083,0.8763,1.14568,84.52228172516018,80.73916944039942,85.32490381382839,64.3277104874446,1.14811,0.78223,1.13386,0.005446,0.005446,0.005446
94,9402.98,1.21866,0.87817,1.15365,84.34455388734818,80.835214270855,85.34312875873147,64.29443623830625,1.14749,0.78155,1.13366,0.0053965,0.0053965,0.0053965
95,9494.73,1.20458,0.86692,1.1457,84.38856268528258,80.76183170376534,85.34098464756639,64.35776464795666,1.14667,0.78014,1.13321,0.005347,0.005347,0.005347
96,9587.2,1.20154,0.86726,1.1497,83.9061585540786,80.86327231121282,85.35706548130439,64.31483013293943,1.14587,0.77918,1.13289,0.0052975,0.0052975,0.0052975
97,9678.91,1.20482,0.86826,1.14633,82.78562685282586,80.83953089244852,85.38708303761531,64.40391925160019,1.14452,0.7778,1.13227,0.005248,0.005248,0.005248
98,9771.13,1.20185,0.86127,1.14439,82.81270919001625,80.84708498023717,85.41066826043104,64.58317085179715,1.14358,0.77728,1.132,0.0051985,0.0051985,0.0051985
99,9863.29,1.19393,0.85741,1.14049,83.50161614229702,81.06399521531101,85.55968398640317,64.66045297882816,1.14283,0.77633,1.13175,0.005149,0.005149,0.005149
100,9955.42,1.20196,0.86155,1.14665,83.38651620923783,80.96363376326191,85.51465765193679,64.60141802067947,1.1425,0.77584,1.13127,0.0050995,0.0050995,0.0050995
101,10047.1,1.19367,0.86072,1.14081,82.80255331356986,81.12226960682338,85.59506182062678,64.5960512063023,1.14185,0.77473,1.13119,0.00505,0.00505,0.00505
102,10138.8,1.1834,0.84519,1.13698,82.93627235344744,81.31328011233619,85.59935004295693,64.58853766617429,1.14149,0.77436,1.13095,0.0050005,0.0050005,0.0050005
103,10230.8,1.18222,0.84746,1.13428,82.0408625800899,81.34673392968588,85.58862948713158,64.60678483505662,1.14068,0.77346,1.13053,0.004951,0.004951,0.004951
104,10323.0,1.18903,0.83896,1.13654,82.10518313091708,81.48486582067818,85.72478054611332,64.55204332840965,1.14041,0.7723,1.13039,0.0049015,0.0049015,0.0049015
105,10414.7,1.18548,0.84768,1.13457,82.19658601893467,81.56364416475972,85.76551865824958,64.67118660758247,1.13999,0.77177,1.13005,0.004852,0.004852,0.004852
106,10506.4,1.18397,0.84122,1.13281,82.52834464951707,81.94026939879343,85.82448171528893,64.73773510585919,1.13879,0.77055,1.12959,0.0048025,0.0048025,0.0048025
107,10598.9,1.18579,0.84613,1.13726,81.81235536004588,82.02552267526524,85.76015838033692,64.66152634170358,1.13813,0.76968,1.12919,0.004753,0.004753,0.004753
108,10690.7,1.17879,0.83035,1.13028,82.41155207038346,81.84746203453298,85.85235516043477,64.71948793697686,1.13705,0.76888,1.12883,0.0047035,0.0047035,0.0047035
109,10782.3,1.1826,0.83335,1.13515,82.86348857224826,82.07840128978573,85.92847110679465,64.7978434268833,1.13591,0.76829,1.1287,0.004654,0.004654,0.004654
110,10874.3,1.17192,0.82259,1.12839,83.09538108444104,81.83019554815894,85.92203877329945,64.85258493353027,1.13501,0.76729,1.12833,0.0046045,0.0046045,0.0046045
111,10966.2,1.169,0.83179,1.12857,82.64682987472506,81.88199500728105,85.86093160509506,64.83970457902511,1.1352,0.76642,1.12812,0.004555,0.004555,0.004555
112,11058.3,1.16256,0.8185,1.12614,82.92273118485224,81.72443831911795,85.90917410630905,64.89766617429837,1.13463,0.76577,1.12779,0.0045055,0.0045055,0.0045055
113,11150.1,1.16304,0.81683,1.12269,82.36415798030028,81.9467443311837,85.93275932912479,64.8847858197932,1.13381,0.76467,1.12763,0.004456,0.004456,0.004456
114,11241.8,1.14895,0.81447,1.11863,80.81030888400116,82.65467027251924,85.93704755145494,64.8880059084195,1.13325,0.76402,1.12742,0.0044065,0.0044065,0.0044065
115,11333.6,1.15621,0.81835,1.1251,80.95926173854834,82.39891044310382,85.9488401628628,64.96206794682422,1.13271,0.76335,1.12734,0.004357,0.004357,0.004357
116,11426.2,1.1489,0.80848,1.11531,80.99480730611073,82.40430622009569,85.86736393859026,64.90839980305267,1.13215,0.76235,1.12701,0.0043075,0.0043075,0.0043075
117,11518.0,1.15145,0.80428,1.12076,81.56353638710911,82.44855159142917,86.00137088640693,64.97924175283111,1.13138,0.76183,1.1269,0.004258,0.004258,0.004258
118,11610.1,1.15396,0.81367,1.12054,81.4789040833891,82.45286821302268,86.00137088640693,65.0479369768587,1.13073,0.76121,1.12669,0.0042085,0.0042085,0.0042085
119,11702.3,1.14531,0.80261,1.11757,82.39124031749067,82.35358591637197,85.91775055096932,64.9996356474643,1.13026,0.76028,1.12649,0.004159,0.004159,0.004159
120,11794.0,1.14003,0.80056,1.111,81.7209524720283,82.34171520698982,85.96384894101826,65.04042343673068,1.12954,0.75945,1.12636,0.0041095,0.0041095,0.0041095
121,11886.2,1.14478,0.7939,1.11571,80.82046476044755,82.71510297482838,85.92418288446451,65.15205317577548,1.12909,0.75889,1.12635,0.00406,0.00406,0.00406
122,11978.5,1.13943,0.79681,1.11605,81.6024672468203,82.62984969835657,85.9938664973292,65.08872476612505,1.12799,0.75828,1.12608,0.0040105,0.0040105,0.0040105
123,12070.3,1.14596,0.79852,1.11669,82.17119632781868,82.45070990222592,86.02388405364013,65.09623830625308,1.12784,0.75757,1.12602,0.003961,0.003961,0.003961
124,12162.1,1.13346,0.79299,1.10879,82.34384622740748,82.40646453089246,86.09142355533973,65.14024618414574,1.12721,0.75668,1.12591,0.0039115,0.0039115,0.0039115
125,12254.4,1.12857,0.78881,1.10779,82.61128430716268,82.4420766590389,86.00029883082439,65.09945839487936,1.12648,0.75571,1.12561,0.003862,0.003862,0.003862
126,12346.4,1.1312,0.7881,1.10868,82.71453571770107,82.26833263990015,86.0560457211161,65.11019202363367,1.12613,0.7555,1.12545,0.0038125,0.0038125,0.0038125
127,12438.0,1.11851,0.77455,1.10457,81.34010710528833,82.6719367588933,85.89202121698854,65.11341211225997,1.12562,0.75489,1.12535,0.003763,0.003763,0.003763
128,12529.4,1.12662,0.78049,1.10811,81.22500717222913,82.6762533804868,85.94026371820252,65.13273264401772,1.12516,0.75467,1.1254,0.0037135,0.0037135,0.0037135
129,12621.4,1.11627,0.77292,1.10342,81.45689968442191,82.55538797586854,85.92739905121212,65.11770556376169,1.12457,0.75421,1.125,0.003664,0.003664,0.003664
130,12712.8,1.11923,0.77209,1.10265,81.15222339102992,82.76474412315375,85.96706510776585,65.1423929098966,1.12381,0.75382,1.12499,0.0036145,0.0036145,0.0036145
131,12804.7,1.11061,0.76845,1.0984,81.23516304867552,82.77121905554401,85.97885771917372,65.14453963564748,1.12334,0.75338,1.12491,0.003565,0.003565,0.003565
132,12896.4,1.1131,0.76604,1.10184,81.64986133690351,82.68812408986895,86.00780321990212,65.11019202363367,1.12244,0.75235,1.12476,0.0035155,0.0035155,0.0035155
133,12988.2,1.10854,0.76198,1.1047,83.70304102515061,81.6747971707926,86.07534272160173,65.17566715903496,1.12215,0.75197,1.12468,0.003466,0.003466,0.003466
134,13080.1,1.11205,0.76297,1.10152,84.05511140862579,81.57659402954026,86.09678383325239,65.2186016740522,1.1217,0.7515,1.12455,0.0034165,0.0034165,0.0034165
135,13172.0,1.10763,0.764,1.09862,83.90446590800421,81.56256500936135,86.1,65.20250123092073,1.12146,0.75072,1.12428,0.003367,0.003367,0.003367
136,13263.6,1.10026,0.75119,1.09544,83.19355455675624,81.5269528812149,86.0163796645624,65.1842540620384,1.12094,0.75035,1.12424,0.0033175,0.0033175,0.0033175
137,13355.2,1.10037,0.75912,1.09848,82.03578464186668,81.81292906178491,85.87594038325051,65.23684884293452,1.12024,0.74971,1.12418,0.003268,0.003268,0.003268
138,13446.8,1.10685,0.7555,1.09966,82.50295495840106,81.83127470355733,86.00244294198946,65.22826193993106,1.11994,0.74903,1.12413,0.0032185,0.0032185,0.0032185
139,13538.2,1.09124,0.75023,1.09076,82.35738739600266,81.81292906178491,86.02495610922264,65.21752831117675,1.11949,0.74888,1.12394,0.003169,0.003169,0.003169
140,13629.9,1.09131,0.74988,1.09008,82.25582863153869,81.81292906178491,85.97349744126106,65.22074839980306,1.11882,0.74791,1.12382,0.0031195,0.0031195,0.0031195
141,13721.3,1.08531,0.74319,1.08792,81.74803480921871,81.85825358851675,85.94133577378506,65.19606105366815,1.11852,0.7473,1.12378,0.00307,0.00307,0.00307
142,13812.9,1.0883,0.74496,1.09046,81.9223773548819,81.88523247347618,85.94669605169771,65.22933530280649,1.11836,0.74651,1.12365,0.0030205,0.0030205,0.0030205
143,13905.0,1.09257,0.74484,1.09155,81.8766759108731,82.06760973580197,85.971353330096,65.26904972919745,1.11796,0.74612,1.12342,0.002971,0.002971,0.002971
144,13997.4,1.08855,0.74429,1.09105,81.17592043607154,82.29854899105472,85.97242538567853,65.27763663220088,1.1178,0.74609,1.12324,0.0029215,0.0029215,0.0029215
145,14089.7,1.08883,0.73726,1.0863,81.40104236396672,82.1712086540462,85.95956071868811,65.22504185130478,1.11726,0.74581,1.12318,0.002872,0.002872,0.002872
146,14181.1,1.08057,0.7378,1.08657,81.34518504351152,82.19279176201374,85.98207388592131,65.28085672082719,1.1168,0.74576,1.12296,0.0028225,0.0028225,0.0028225
147,14272.8,1.07193,0.73091,1.08321,81.12344840776512,82.19279176201374,85.90702999514399,65.2325553914328,1.11617,0.74485,1.12265,0.002773,0.002773,0.002773
148,14364.7,1.06728,0.72658,1.08091,81.28255713875872,82.34063605159143,85.95956071868811,65.2851501723289,1.1159,0.74415,1.12267,0.0027235,0.0027235,0.0027235
149,14457.0,1.07731,0.72794,1.08565,80.97788084536673,82.35034845017684,85.95956071868811,65.32164451009355,1.11567,0.74366,1.12275,0.002674,0.002674,0.002674
150,14549.2,1.06775,0.7285,1.08062,80.91356029453955,82.38919804451841,85.93811960703745,65.30017725258493,1.11573,0.74312,1.12281,0.0026245,0.0026245,0.0026245
151,14641.5,1.06867,0.72214,1.08008,80.73921774887634,82.64819534012899,85.8652198274252,65.30447070408665,1.11552,0.74271,1.12274,0.002575,0.002575,0.002575
152,14733.2,1.06111,0.72294,1.07527,80.80184565362916,82.61150405658415,85.89202121698854,65.32486459871984,1.11529,0.74186,1.12275,0.0025255,0.0025255,0.0025255
153,14824.6,1.06247,0.72057,1.07656,80.48701348379076,82.30718223424172,85.82662582645399,65.32593796159527,1.11547,0.74125,1.12275,0.002476,0.002476,0.002476
154,14916.2,1.05822,0.71493,1.07806,80.42607822511235,82.4906386519659,85.81268910388106,65.30017725258493,1.11537,0.74077,1.12283,0.0024265,0.0024265,0.0024265
155,15007.9,1.05488,0.70877,1.06972,80.45823850052597,82.57805023923446,85.78267154757012,65.37745937961594,1.11523,0.74016,1.12281,0.002377,0.002377,0.002377
156,15099.9,1.05154,0.70531,1.07336,80.86785885053074,82.44423496983565,85.72478054611332,65.32271787296897,1.11495,0.73939,1.12287,0.0023275,0.0023275,0.0023275
157,15191.2,1.04875,0.70299,1.07023,80.22126805010997,82.6902824006657,85.64759254417092,65.25080256031512,1.11505,0.73847,1.12296,0.002278,0.002278,0.002278
158,15282.9,1.04585,0.7045,1.06596,80.43623410155877,83.0,85.65616898883118,65.2400689315608,1.1148,0.73819,1.12302,0.0022285,0.0022285,0.0022285
159,15374.5,1.04194,0.69951,1.06768,80.31605623027637,82.79819794050344,85.66260132232638,65.27226981782373,1.11515,0.7378,1.12331,0.002179,0.002179,0.002179
160,15466.2,1.0417,0.69796,1.06662,80.56656784928757,82.82733513625962,85.67010571140412,65.30876415558838,1.11462,0.73682,1.12305,0.0021295,0.0021295,0.0021295
